dataset	method	seed	rmse	score	source	log_file
FD002	B	17	13.9463949203	1248.95068359	final	/CMAPSS-release/logs/FD002_FD002_B/seed17/FD002_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_033852_seed17.log
FD002	B	27	13.2551441193	960.167114258	final	/CMAPSS-release/logs/FD002_FD002_B/seed27/FD002_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_034708_seed27.log
FD002	B	30	13.397977829	1015.32440186	final	/CMAPSS-release/logs/FD002_FD002_B/seed30/FD002_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_035531_seed30.log
FD002	B	33	12.8344068527	833.085754395	final	/CMAPSS-release/logs/FD002_FD002_B/seed33/FD002_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_040341_seed33.log
FD002	B	51	12.8775043488	878.082580566	final	/CMAPSS-release/logs/FD002_FD002_B/seed51/FD002_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_041001_seed51.log
FD002	B	62	12.8540964127	923.22467041	final	/CMAPSS-release/logs/FD002_FD002_B/seed62/FD002_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_041553_seed62.log
FD002	B	80	13.2026090622	996.60168457	final	/CMAPSS-release/logs/FD002_FD002_B/seed80/FD002_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_042206_seed80.log
FD002	B	88	13.2455282211	1030.83898926	final	/CMAPSS-release/logs/FD002_FD002_B/seed88/FD002_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_042812_seed88.log
FD002	B	97	13.8299093246	1054.11901855	final	/CMAPSS-release/logs/FD002_FD002_B/seed97/FD002_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_043406_seed97.log
FD002	C	2	12.865655899	822.470153809	final	/CMAPSS-release/logs/FD002_FD002_C/seed2/FD002_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_044012_seed2.log
FD002	C	17	14.2402172089	1022.28271484	final	/CMAPSS-release/logs/FD002_FD002_C/seed17/FD002_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_044556_seed17.log
FD002	C	27	13.6599626541	1016.55822754	final	/CMAPSS-release/logs/FD002_FD002_C/seed27/FD002_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_045346_seed27.log
FD002	C	30	13.4958877563	921.539550781	final	/CMAPSS-release/logs/FD002_FD002_C/seed30/FD002_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_050028_seed30.log
FD002	C	33	13.4224500656	883.266540527	final	/CMAPSS-release/logs/FD002_FD002_C/seed33/FD002_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_050726_seed33.log
FD002	C	51	13.8075580597	1065.29382324	final	/CMAPSS-release/logs/FD002_FD002_C/seed51/FD002_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_051303_seed51.log
FD002	C	62	13.9310216904	1104.91674805	final	/CMAPSS-release/logs/FD002_FD002_C/seed62/FD002_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_051835_seed62.log
FD002	C	80	14.0307168961	1322.89733887	final	/CMAPSS-release/logs/FD002_FD002_C/seed80/FD002_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_052410_seed80.log
FD002	C	88	13.8519477844	944.037719727	final	/CMAPSS-release/logs/FD002_FD002_C/seed88/FD002_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_052958_seed88.log
FD002	C	97	12.4797906876	743.83770752	final	/CMAPSS-release/logs/FD002_FD002_C/seed97/FD002_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_053455_seed97.log
FD002	D	2	13.4825782776	1002.41687012	final	/CMAPSS-release/logs/FD002_FD002_D/seed2/FD002_D_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_054018_seed2.log
